sample	reference	predicted_accuracy	null_model_p0	null_model_p0_stdev	damage_model_p	damage_model_p_stdev	damage_model_pmin	damage_model_pmin_stdev	damage_model_pmax	damage_model_pmax_stdev	pvalue	qvalue	RMSE	nb_reads_aligned	coverage	reflen	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4	CtoT-5	CtoT-6	CtoT-7	CtoT-8	CtoT-9	CtoT-10	CtoT-11	CtoT-12	CtoT-13	CtoT-14	CtoT-15	CtoT-16	CtoT-17	CtoT-18	CtoT-19
LS-55	NODE_26740_length_5442_cov_18.8	0.252	0.001	0.001	0.854	4.444	0.001	0.001	0.001	0.003	1.000	1.000	0.003	628	16.547	5442	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_5145_length_15949_cov_14.1	0.325	0.002	0.001	0.990	2.574	0.002	0.001	0.003	0.003	0.871	1.000	0.003	1332	12.011	15949	0.003	0.000	0.011	0.007	0.000	0.000	0.004	0.004	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_65199_length_3117_cov_10.0	0.195	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	190	8.761	3117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_19444_length_6660_cov_30.5	0.383	0.015	0.003	0.990	1.642	0.015	0.003	0.015	0.013	1.000	1.000	0.012	1282	26.804	6660	0.007	0.020	0.000	0.045	0.031	0.039	0.017	0.021	0.027	0.008	0.009	0.010	0.009	0.009	0.010	0.000	0.018	0.009	0.010	0.000
LS-55	NODE_4735_length_16808_cov_88.6	0.749	0.003	0.000	0.874	1.764	0.003	0.000	0.004	0.002	0.812	1.000	0.002	9013	77.226	16808	0.004	0.004	0.002	0.002	0.002	0.004	0.005	0.005	0.004	0.007	0.002	0.002	0.001	0.003	0.003	0.003	0.005	0.001	0.004	0.005
LS-55	NODE_13257_length_8579_cov_9.3	0.242	0.003	0.001	0.707	1.825	0.003	0.001	0.003	0.006	1.000	1.000	0.006	511	8.249	8579	0.000	0.000	0.000	0.014	0.015	0.000	0.000	0.000	0.000	0.014	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_26944_length_5415_cov_18.4	0.250	0.001	0.001	0.782	2.933	0.001	0.001	0.001	0.004	1.000	1.000	0.004	614	16.281	5415	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000
LS-55	NODE_1873_length_30488_cov_17.3	0.509	0.004	0.001	0.990	2.496	0.004	0.001	0.006	0.004	0.838	1.000	0.004	3311	15.555	30488	0.006	0.003	0.005	0.006	0.018	0.006	0.002	0.002	0.005	0.002	0.002	0.000	0.000	0.000	0.002	0.004	0.000	0.005	0.005	0.005
LS-55	NODE_2587_length_24727_cov_26.9	0.480	0.001	0.000	0.466	0.953	0.001	0.000	0.001	0.001	1.000	1.000	0.001	4141	23.990	24727	0.000	0.000	0.000	0.003	0.000	0.000	0.002	0.002	0.005	0.000	0.000	0.003	0.002	0.000	0.003	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_2168_length_27691_cov_20.0	0.474	0.002	0.001	0.990	7.651	0.002	0.001	0.002	0.003	0.977	1.000	0.003	3432	17.758	27691	0.002	0.000	0.006	0.000	0.007	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.003	0.003	0.003	0.000	0.000	0.003	0.000	0.000
LS-55	NODE_838_length_48004_cov_16.4	0.663	0.002	0.000	0.804	1.767	0.002	0.001	0.003	0.002	0.695	1.000	0.002	4839	14.420	48004	0.003	0.003	0.000	0.000	0.000	0.001	0.003	0.000	0.005	0.000	0.002	0.000	0.001	0.000	0.005	0.005	0.006	0.001	0.001	0.000
LS-55	NODE_18786_length_6805_cov_14.1	0.244	0.002	0.001	0.392	1.253	0.002	0.001	0.002	0.004	1.000	1.000	0.004	585	12.118	6805	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.011	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_4800_length_16668_cov_18.4	0.366	0.004	0.001	0.000	2.546	0.005	0.018	0.005	0.003	1.000	1.000	0.004	1904	16.138	16668	0.000	0.009	0.000	0.003	0.011	0.003	0.007	0.000	0.006	0.007	0.006	0.000	0.000	0.000	0.000	0.009	0.007	0.003	0.000	0.010
LS-55	NODE_2139_length_27938_cov_20.4	0.495	0.002	0.001	0.990	0.750	0.002	0.001	0.005	0.002	0.419	1.000	0.002	3551	18.155	27938	0.005	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.006	0.003	0.000	0.000	0.003	0.003	0.003	0.000	0.003	0.000	0.000	0.000
LS-55	NODE_6848_length_13263_cov_13.8	0.328	0.005	0.001	0.720	1.157	0.005	0.001	0.009	0.005	0.765	1.000	0.004	1145	12.152	13263	0.008	0.008	0.005	0.000	0.000	0.000	0.011	0.000	0.005	0.010	0.000	0.011	0.000	0.006	0.006	0.000	0.006	0.011	0.009	0.011
LS-55	NODE_31650_length_4882_cov_11.4	0.313	0.009	0.004	0.990	0.890	0.008	0.004	0.026	0.016	0.607	1.000	0.015	364	9.844	4882	0.026	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.050	0.029	0.000	0.000
LS-55	NODE_63676_length_3162_cov_243.5	0.990	0.014	0.001	0.990	0.980	0.014	0.001	0.019	0.004	0.646	1.000	0.004	4781	216.470	3162	0.019	0.006	0.003	0.019	0.018	0.012	0.017	0.013	0.011	0.017	0.017	0.019	0.013	0.012	0.014	0.016	0.013	0.018	0.015	0.015
LS-55	NODE_37538_length_4383_cov_7.7	0.206	0.002	0.002	0.243	1.418	0.003	0.004	0.003	0.009	1.000	1.000	0.010	220	7.109	4383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_9849_length_10484_cov_9.5	0.338	0.010	0.003	0.990	0.962	0.009	0.003	0.022	0.012	0.562	1.000	0.011	616	8.299	10484	0.022	0.000	0.000	0.000	0.000	0.014	0.000	0.012	0.015	0.000	0.011	0.031	0.013	0.000	0.014	0.000	0.026	0.037	0.000	0.000
LS-55	NODE_58391_length_3332_cov_7.5	0.187	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	158	6.632	3332	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_4114_length_18386_cov_79.2	0.710	0.000	0.000	0.942	2.662	0.000	0.000	0.000	0.001	1.000	1.000	0.000	8970	70.483	18386	0.000	0.000	0.002	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_23683_length_5876_cov_6.5	0.231	0.009	0.004	0.796	1.935	0.009	0.004	0.009	0.018	1.000	1.000	0.017	244	5.762	5876	0.000	0.000	0.019	0.022	0.061	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000
LS-55	NODE_6721_length_13439_cov_19.1	0.348	0.004	0.001	0.329	0.407	0.004	0.001	0.007	0.002	0.505	1.000	0.002	1591	16.737	13439	0.006	0.006	0.007	0.007	0.004	0.000	0.008	0.000	0.000	0.004	0.008	0.004	0.004	0.004	0.004	0.000	0.008	0.004	0.004	0.004
LS-55	NODE_2460_length_25530_cov_17.4	0.431	0.001	0.000	0.387	0.749	0.001	0.000	0.001	0.001	1.000	1.000	0.001	2748	15.500	25530	0.000	0.000	0.000	0.002	0.000	0.002	0.000	0.000	0.002	0.002	0.000	0.000	0.004	0.002	0.000	0.000	0.002	0.000	0.000	0.000
LS-55	NODE_49867_length_3668_cov_76.6	0.555	0.003	0.000	0.154	1.151	0.003	0.001	0.003	0.001	1.000	1.000	0.002	1709	66.087	3668	0.002	0.004	0.003	0.003	0.003	0.000	0.000	0.006	0.006	0.003	0.003	0.000	0.006	0.004	0.003	0.003	0.003	0.003	0.003	0.003
LS-55	NODE_1592_length_33614_cov_28.8	0.588	0.001	0.000	0.990	1.378	0.001	0.000	0.002	0.001	0.822	1.000	0.001	5967	25.538	33614	0.002	0.000	0.000	0.001	0.001	0.001	0.004	0.001	0.001	0.001	0.002	0.001	0.001	0.000	0.000	0.001	0.003	0.001	0.000	0.001
LS-55	NODE_1754_length_31733_cov_35.0	0.599	0.001	0.000	0.777	6.266	0.001	0.000	0.001	0.001	0.964	1.000	0.001	6810	30.889	31733	0.001	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.004	0.003	0.000	0.001	0.001	0.000	0.001	0.000	0.000	0.000	0.004
LS-55	NODE_52295_length_3562_cov_6.1	0.183	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	132	5.332	3562	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_15348_length_7793_cov_24.0	0.329	0.009	0.003	0.990	1.451	0.009	0.003	0.009	0.013	1.000	1.000	0.012	1148	20.875	7793	0.000	0.011	0.000	0.036	0.000	0.008	0.000	0.000	0.000	0.000	0.020	0.008	0.030	0.000	0.000	0.010	0.000	0.017	0.033	0.000
LS-55	NODE_59889_length_3281_cov_8.5	0.244	0.004	0.003	0.000	0.000	0.015	0.012	0.015	0.005	1.000	1.000	0.016	182	7.824	3281	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043
LS-55	NODE_1517_length_34646_cov_68.4	0.798	0.003	0.000	0.990	1.604	0.003	0.000	0.003	0.001	1.000	1.000	0.001	14548	60.586	34646	0.002	0.003	0.003	0.005	0.004	0.003	0.001	0.002	0.002	0.002	0.004	0.002	0.002	0.004	0.003	0.005	0.002	0.004	0.002	0.001
LS-55	NODE_20052_length_6533_cov_15.6	0.338	0.007	0.002	0.000	0.128	0.023	0.028	0.023	0.006	1.000	1.000	0.019	626	13.652	6533	0.000	0.000	0.011	0.000	0.000	0.013	0.000	0.013	0.000	0.000	0.012	0.013	0.000	0.000	0.000	0.000	0.025	0.000	0.010	0.036
LS-55	NODE_6164_length_14163_cov_11.7	0.305	0.001	0.001	0.990	1.052	0.001	0.001	0.004	0.003	0.614	1.000	0.003	1054	10.632	14163	0.004	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_5374_length_15515_cov_8.8	0.319	0.006	0.002	0.280	1.513	0.006	0.003	0.008	0.007	0.412	1.000	0.007	848	7.872	15515	0.000	0.022	0.000	0.009	0.016	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.009	0.009	0.016	0.010	0.000	0.000	0.000	0.019
LS-55	NODE_13687_length_8407_cov_7.7	0.230	0.002	0.001	0.912	2.479	0.002	0.001	0.002	0.006	0.993	1.000	0.006	404	6.865	8407	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000
LS-55	NODE_22269_length_6109_cov_83.5	0.662	0.007	0.001	0.061	0.254	0.005	0.006	0.009	0.002	0.507	1.000	0.003	3226	74.498	6109	0.004	0.011	0.011	0.011	0.013	0.009	0.007	0.002	0.006	0.005	0.004	0.004	0.005	0.007	0.009	0.012	0.005	0.007	0.007	0.002
LS-55	NODE_3574_length_20148_cov_33.9	0.479	0.002	0.000	0.714	0.726	0.002	0.000	0.002	0.002	1.000	1.000	0.002	4243	30.137	20148	0.000	0.002	0.000	0.005	0.004	0.004	0.004	0.004	0.002	0.002	0.002	0.002	0.002	0.005	0.000	0.000	0.000	0.004	0.004	0.000
LS-55	NODE_3071_length_22122_cov_60.8	0.670	0.004	0.000	0.641	2.132	0.004	0.000	0.005	0.002	0.961	1.000	0.001	8299	54.011	22122	0.004	0.006	0.002	0.003	0.003	0.003	0.006	0.004	0.005	0.006	0.003	0.005	0.007	0.003	0.005	0.003	0.003	0.003	0.002	0.004
LS-55	NODE_12580_length_8880_cov_30.8	0.372	0.005	0.001	0.990	1.034	0.005	0.001	0.008	0.003	0.718	1.000	0.003	1669	26.773	8880	0.008	0.004	0.003	0.007	0.004	0.004	0.004	0.007	0.011	0.004	0.004	0.000	0.011	0.003	0.003	0.000	0.007	0.000	0.007	0.007
LS-55	NODE_38802_length_4292_cov_6.5	0.189	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	169	5.647	4292	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_15547_length_7725_cov_10.8	0.261	0.008	0.002	0.990	1.217	0.008	0.002	0.008	0.010	1.000	1.000	0.009	543	9.590	7725	0.000	0.018	0.000	0.000	0.017	0.014	0.000	0.027	0.015	0.000	0.014	0.000	0.000	0.018	0.020	0.015	0.000	0.000	0.000	0.000
LS-55	NODE_12292_length_9030_cov_22.2	0.340	0.008	0.002	0.990	7.377	0.008	0.002	0.010	0.009	0.986	1.000	0.008	1317	20.040	9030	0.010	0.000	0.005	0.005	0.023	0.000	0.000	0.032	0.006	0.017	0.016	0.006	0.006	0.006	0.006	0.000	0.005	0.000	0.011	0.012
LS-55	NODE_14274_length_8184_cov_9.7	0.237	0.002	0.001	0.808	2.980	0.002	0.001	0.002	0.005	0.993	1.000	0.005	496	8.649	8184	0.000	0.000	0.000	0.018	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_519_length_61949_cov_46.2	0.880	0.004	0.000	0.762	0.674	0.004	0.000	0.004	0.002	1.000	1.000	0.001	17746	40.646	61949	0.002	0.003	0.006	0.006	0.005	0.002	0.003	0.005	0.003	0.004	0.003	0.002	0.004	0.005	0.004	0.007	0.007	0.004	0.006	0.003
LS-55	NODE_42342_length_4065_cov_9.9	0.369	0.015	0.005	0.990	0.874	0.014	0.005	0.041	0.023	0.480	1.000	0.021	258	8.940	4065	0.041	0.000	0.000	0.024	0.030	0.049	0.080	0.000	0.029	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.029	0.000	0.000	0.000
LS-55	NODE_9101_length_11026_cov_11.1	0.273	0.004	0.001	0.610	1.239	0.004	0.002	0.004	0.006	1.000	1.000	0.006	754	9.804	11026	0.000	0.000	0.000	0.013	0.014	0.000	0.000	0.000	0.000	0.012	0.012	0.013	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.000
LS-55	NODE_29660_length_5096_cov_12.4	0.282	0.015	0.004	0.533	1.061	0.017	0.005	0.017	0.020	1.000	1.000	0.019	401	10.747	5096	0.000	0.023	0.000	0.000	0.000	0.068	0.056	0.000	0.022	0.000	0.022	0.022	0.021	0.000	0.000	0.000	0.021	0.000	0.021	0.030
LS-55	NODE_56930_length_3384_cov_9.8	0.259	0.013	0.005	0.233	0.545	0.018	0.010	0.018	0.021	1.000	1.000	0.024	209	8.471	3384	0.000	0.000	0.000	0.000	0.000	0.033	0.000	0.000	0.033	0.037	0.000	0.000	0.091	0.048	0.027	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_4202_length_18156_cov_25.6	0.432	0.006	0.001	0.990	9.693	0.006	0.001	0.007	0.004	0.994	1.000	0.004	2893	22.435	18156	0.007	0.003	0.011	0.008	0.007	0.013	0.009	0.009	0.004	0.008	0.004	0.015	0.007	0.002	0.004	0.002	0.000	0.002	0.002	0.008
LS-55	NODE_2461_length_25523_cov_67.8	0.721	0.002	0.000	0.429	1.673	0.002	0.000	0.003	0.001	0.970	1.000	0.001	10454	59.158	25523	0.002	0.004	0.001	0.001	0.003	0.003	0.002	0.001	0.001	0.003	0.003	0.001	0.002	0.002	0.001	0.001	0.002	0.003	0.001	0.006
LS-55	NODE_917_length_45704_cov_30.9	0.707	0.001	0.000	0.000	0.975	0.001	0.002	0.001	0.000	1.000	1.000	0.001	8611	27.017	45704	0.001	0.001	0.001	0.001	0.000	0.001	0.000	0.000	0.001	0.000	0.001	0.001	0.000	0.000	0.001	0.002	0.000	0.001	0.001	0.001
LS-55	NODE_12967_length_8708_cov_18.3	0.295	0.005	0.001	0.721	0.831	0.006	0.001	0.006	0.005	1.000	1.000	0.005	969	15.790	8708	0.000	0.000	0.008	0.015	0.017	0.000	0.007	0.007	0.000	0.000	0.009	0.000	0.000	0.009	0.000	0.007	0.008	0.008	0.007	0.008
LS-55	NODE_123_length_150460_cov_77.5	0.998	0.000	0.000	0.217	0.410	0.000	0.000	0.000	0.000	0.614	1.000	0.000	71506	68.615	150460	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_8452_length_11599_cov_15.0	0.284	0.001	0.001	0.437	1.402	0.001	0.001	0.001	0.002	1.000	1.000	0.002	1056	13.184	11599	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_12811_length_8771_cov_12.6	0.287	0.008	0.002	0.183	0.943	0.007	0.005	0.010	0.007	0.439	1.000	0.008	704	11.198	8771	0.000	0.014	0.025	0.012	0.000	0.012	0.011	0.000	0.000	0.011	0.000	0.000	0.012	0.000	0.011	0.014	0.013	0.024	0.000	0.000
LS-55	NODE_890_length_46394_cov_16.8	0.651	0.002	0.000	0.247	0.260	0.003	0.001	0.003	0.002	1.000	1.000	0.002	4799	14.850	46394	0.000	0.000	0.001	0.002	0.000	0.003	0.001	0.005	0.002	0.005	0.001	0.002	0.002	0.005	0.000	0.004	0.000	0.001	0.002	0.006
LS-55	NODE_42196_length_4074_cov_10.6	0.279	0.011	0.003	0.101	0.245	0.020	0.017	0.020	0.011	1.000	1.000	0.017	285	9.487	4074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.030	0.000	0.000	0.000	0.034	0.030	0.034	0.000	0.000	0.030	0.025	0.000
LS-55	NODE_52733_length_3544_cov_17.1	0.297	0.007	0.003	0.990	1.206	0.007	0.003	0.018	0.013	0.722	1.000	0.012	369	15.051	3544	0.018	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.021	0.000	0.048	0.000	0.000	0.020
LS-55	NODE_11841_length_9251_cov_9.8	0.248	0.002	0.001	0.102	0.565	0.003	0.005	0.003	0.004	1.000	1.000	0.005	545	8.519	9251	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000
LS-55	NODE_3950_length_18921_cov_21.2	0.439	0.012	0.001	0.611	2.811	0.012	0.002	0.012	0.007	0.996	1.000	0.006	2478	18.589	18921	0.012	0.006	0.010	0.019	0.025	0.018	0.028	0.018	0.010	0.005	0.014	0.014	0.010	0.009	0.004	0.009	0.009	0.005	0.010	0.009
LS-55	NODE_17989_length_7010_cov_9.0	0.217	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	379	7.815	7010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_9320_length_10845_cov_8.4	0.288	0.005	0.002	0.990	1.593	0.005	0.002	0.011	0.009	0.791	1.000	0.009	562	7.484	10845	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.014	0.000	0.000	0.011	0.000	0.000	0.026	0.000	0.000	0.000	0.012	0.000
LS-55	NODE_1770_length_31553_cov_22.4	0.529	0.002	0.000	0.563	0.679	0.002	0.000	0.002	0.002	1.000	1.000	0.002	4441	19.948	31553	0.000	0.002	0.000	0.003	0.002	0.005	0.000	0.001	0.002	0.003	0.002	0.002	0.003	0.002	0.000	0.000	0.005	0.002	0.000	0.005
LS-55	NODE_66376_length_3085_cov_11.4	0.218	0.003	0.002	0.123	0.605	0.005	0.008	0.005	0.007	1.000	1.000	0.009	217	10.211	3085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_2909_length_22776_cov_23.4	0.454	0.004	0.001	0.990	3.737	0.004	0.001	0.004	0.003	1.000	1.000	0.002	3297	20.925	22776	0.003	0.005	0.004	0.002	0.011	0.004	0.007	0.002	0.002	0.004	0.000	0.002	0.004	0.008	0.004	0.004	0.002	0.004	0.002	0.006
LS-55	NODE_13690_length_8405_cov_10.3	0.264	0.007	0.002	0.485	0.946	0.008	0.003	0.008	0.011	1.000	1.000	0.011	534	9.028	8405	0.000	0.000	0.000	0.021	0.000	0.016	0.000	0.019	0.019	0.000	0.020	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.016
LS-55	NODE_13728_length_8392_cov_8.2	0.224	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	413	7.162	8392	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_68059_length_3040_cov_7.6	0.215	0.002	0.002	0.000	0.002	0.009	0.009	0.009	0.004	1.000	1.000	0.011	143	6.792	3040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000	0.000
LS-55	NODE_45461_length_3890_cov_9.6	0.197	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	223	8.203	3890	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_20419_length_6457_cov_15.0	0.275	0.006	0.002	0.136	0.324	0.009	0.007	0.009	0.007	1.000	1.000	0.009	619	13.444	6457	0.000	0.000	0.000	0.000	0.000	0.009	0.009	0.000	0.000	0.015	0.000	0.000	0.008	0.026	0.031	0.000	0.008	0.008	0.000	0.000
LS-55	NODE_3667_length_19798_cov_34.0	0.499	0.007	0.001	0.567	2.148	0.007	0.001	0.007	0.004	1.000	1.000	0.004	4118	29.833	19798	0.006	0.006	0.008	0.003	0.011	0.013	0.014	0.018	0.007	0.003	0.003	0.008	0.003	0.003	0.010	0.005	0.008	0.007	0.003	0.005
LS-55	NODE_47248_length_3798_cov_6.5	0.185	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	142	5.410	3798	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_31616_length_4887_cov_11.0	0.288	0.018	0.004	0.617	6.207	0.018	0.004	0.020	0.017	0.989	1.000	0.015	354	10.003	4887	0.018	0.026	0.022	0.000	0.000	0.022	0.029	0.023	0.026	0.021	0.000	0.000	0.000	0.053	0.000	0.022	0.000	0.026	0.048	0.023
LS-55	NODE_1458_length_35540_cov_77.3	0.825	0.000	0.000	0.990	3.009	0.000	0.000	0.000	0.000	0.954	1.000	0.000	16814	68.186	35540	0.000	0.000	0.000	0.001	0.000	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.001	0.000	0.000	0.000	0.000
LS-55	NODE_950_length_44780_cov_212.6	0.995	0.005	0.000	0.318	0.323	0.005	0.000	0.005	0.001	1.000	1.000	0.001	58445	188.259	44780	0.004	0.005	0.004	0.005	0.006	0.004	0.005	0.005	0.006	0.007	0.004	0.005	0.006	0.005	0.005	0.005	0.008	0.005	0.007	0.005
LS-55	NODE_66418_length_3084_cov_7.5	0.186	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	150	6.848	3084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_15517_length_7734_cov_61.7	0.521	0.003	0.001	0.990	0.927	0.003	0.001	0.003	0.003	1.000	1.000	0.003	3005	54.803	7734	0.000	0.003	0.005	0.003	0.009	0.000	0.003	0.000	0.003	0.005	0.000	0.003	0.005	0.003	0.003	0.008	0.008	0.003	0.000	0.000
LS-55	NODE_12050_length_9150_cov_19.9	0.314	0.006	0.001	0.440	0.624	0.007	0.002	0.007	0.006	1.000	1.000	0.006	1144	17.714	9150	0.000	0.000	0.000	0.014	0.000	0.007	0.008	0.016	0.007	0.021	0.008	0.000	0.000	0.000	0.007	0.007	0.014	0.000	0.007	0.000
LS-55	NODE_7383_length_12620_cov_69.8	0.613	0.001	0.000	0.990	0.986	0.001	0.000	0.001	0.001	1.000	1.000	0.001	5454	62.600	12620	0.000	0.002	0.001	0.000	0.003	0.000	0.002	0.000	0.003	0.003	0.004	0.000	0.000	0.000	0.002	0.001	0.001	0.001	0.001	0.001
LS-55	NODE_35222_length_4560_cov_5.3	0.187	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	151	4.790	4560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_479_length_64830_cov_16.8	0.796	0.000	0.000	0.269	0.506	0.001	0.000	0.001	0.001	1.000	1.000	0.001	6782	14.971	64830	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.001	0.001	0.000	0.000	0.001	0.002	0.001	0.001	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_30451_length_5005_cov_6.3	0.193	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	190	5.467	5005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_20500_length_6441_cov_10.8	0.220	0.000	0.000	0.990	0.434	0.000	0.000	0.000	0.000	1.000	1.000	0.000	421	9.373	6441	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LS-55	NODE_1846_length_30769_cov_25.6	0.544	0.003	0.001	0.621	0.733	0.003	0.001	0.003	0.003	1.000	1.000	0.003	4855	22.615	30769	0.000	0.000	0.003	0.008	0.001	0.007	0.004	0.000	0.001	0.000	0.007	0.006	0.003	0.000	0.004	0.004	0.004	0.007	0.000	0.000
LS-55	NODE_64406_length_3141_cov_8.8	0.226	0.002	0.002	0.000	0.000	0.010	0.008	0.010	0.004	1.000	1.000	0.011	179	8.224	3141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000
