sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
LS-85	NODE_55135_length_3170_cov_19.7	83785	family	UBA233	3	3	2	0.67	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-65	NODE_54_length_210137_cov_18.4	83572	genus	RBG-16-57-9	242	225	105	0.51	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_TCS64;f_TCS64;g_RBG-16-57-9
LS-93	NODE_11031_length_9033_cov_8.7	2	superkingdom	Bacteria	9	8	8	1.0	d_Bacteria
LS-93	NODE_18816_length_6547_cov_20.7	27	genus	Mycobacterium	14	14	10	0.73	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium
LS-93	NODE_32755_length_4627_cov_16.1	1373	family	Xanthobacteraceae	4	4	2	0.5	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae
LS-93	NODE_56962_length_3294_cov_20.2	49596	species	B33-G16 sp013375335	3	2	1	0.5	d_Bacteria;p_Desulfobacterota;c_DSM-4660;o_Desulfatiglandales;f_B25-G16;g_B33-G16;s_B33-G16 sp013375335
LS-35	NODE_682_length_42322_cov_83.5	37485	family	SZUA-161	48	47	29	0.65	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_SZUA-161;f_SZUA-161
LS-35	NODE_3269_length_17336_cov_49.8	2	superkingdom	Bacteria	20	19	17	0.84	d_Bacteria
LS-35	NODE_7597_length_10978_cov_11.9	27	genus	Mycobacterium	17	17	12	0.77	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium
LS-35	NODE_12496_length_8382_cov_11.0	1	no rank	root	7	6	6	1.0	-_root
LS-35	NODE_18673_length_6756_cov_22.0	1454	class	Anaerolineae	6	6	5	0.8	d_Bacteria;p_Chloroflexota;c_Anaerolineae
LS-35	NODE_26992_length_5531_cov_8.3	1454	class	Anaerolineae	5	5	4	0.8	d_Bacteria;p_Chloroflexota;c_Anaerolineae
LS-65	NODE_57359_length_3313_cov_16.3	86487	species	JACTUA01 sp015660865	7	7	4	0.97	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_JACTUA01;g_JACTUA01;s_JACTUA01 sp015660865
LS-63	NODE_1144_length_32661_cov_20.0	2	superkingdom	Bacteria	26	23	21	0.9	d_Bacteria
LS-63	NODE_5486_length_13593_cov_16.0	84111	genus	Bilamarchaeum	13	13	13	1.0	d_Archaea;p_Micrarchaeota;c_Micrarchaeia;o_Anstonellales;f_Bilamarchaeaceae;g_Bilamarchaeum
LS-63	NODE_14497_length_7594_cov_8.4	77947	species	UBA9647 sp003519375	8	8	4	0.57	d_Bacteria;p_Bacteroidota;c_UBA10030;o_UBA10030;f_UBA10030;g_UBA9647;s_UBA9647 sp003519375
LS-63	NODE_27568_length_5136_cov_11.1	2	superkingdom	Bacteria	7	7	6	0.83	d_Bacteria
LS-63	NODE_53374_length_3451_cov_8.8	2	superkingdom	Bacteria	3	2	2	1.0	d_Bacteria
LS-55	NODE_76_length_195731_cov_76.3	1	no rank	root	43	37	37	1.0	-_root
LS-55	NODE_950_length_44780_cov_212.6	86140	species	20-14-0-80-47-9 sp002779555	49	48	29	0.61	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233;g_20-14-0-80-47-9;s_20-14-0-80-47-9 sp002779555
LS-55	NODE_2496_length_25272_cov_91.2	68304	species	DSXZ01 sp011367735	25	25	16	0.78	d_Bacteria;p_Desulfobacterota;c_DSM-4660;o_Desulfatiglandales;f_HGW-15;g_DSXZ01;s_DSXZ01 sp011367735
LS-55	NODE_4114_length_18386_cov_79.2	2	superkingdom	Bacteria	3	3	2	0.67	d_Bacteria
LS-85	NODE_18139_length_6260_cov_18.6	1456	family	EnvOPS12	7	7	4	0.78	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales;f_EnvOPS12
LS-85	NODE_29717_length_4637_cov_11.4	38950	species	JAFGGI01 sp016930635	4	4	1	0.84	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_UBA12454;g_JAFGGI01;s_JAFGGI01 sp016930635
LS-85	NODE_47950_length_3461_cov_13.3	80220	species	Rhodoplanes sp016793685	3	2	1	0.5	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae;g_Rhodoplanes;s_Rhodoplanes sp016793685
LS-65	NODE_35_length_244083_cov_31.9	2	superkingdom	Bacteria	73	65	39	0.58	d_Bacteria
LS-65	NODE_465_length_60872_cov_13.8	14832	family	Fen-1342	55	49	25	0.6	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_UBA1845;f_Fen-1342
LS-65	NODE_3741_length_18047_cov_21.7	85589	genus	PIYB01	17	17	7	0.53	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_B26-1;g_PIYB01
LS-65	NODE_8183_length_11123_cov_17.2	2705	family	UBA1268	12	12	11	0.99	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_UBA1268
LS-65	NODE_17138_length_6925_cov_8.2	6937	genus	CG2-30-66-27	5	5	2	0.63	d_Bacteria;p_Desulfobacterota E;c_MBNT15;o_MBNT15;f_MBNT15;g_CG2-30-66-27
LS-65	NODE_33648_length_4582_cov_11.6	3088	species	Planktothrix rubescens	2	2	1	0.5	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales;f_Microcoleaceae;g_Planktothrix;s_Planktothrix rubescens
LS-65	NODE_61484_length_3174_cov_40.3	57420	species	JACWAE01 sp014874385	3	3	3	1.0	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_SZUA-161;f_SZUA-161;g_JACWAE01;s_JACWAE01 sp014874385
LS-35	NODE_57249_length_3678_cov_6.7	840	phylum	Desulfobacterota	4	4	2	0.5	d_Bacteria;p_Desulfobacterota
LS-35	NODE_75297_length_3161_cov_10.8	76634	species	RBG-16-54-11 sp001797905	6	6	5	0.8	d_Bacteria;p_Desulfobacterota;c_BSN033;o_B13-G15;f_RBG-16-54-18;g_RBG-16-54-11;s_RBG-16-54-11 sp001797905
LS-67	NODE_1400_length_28422_cov_20.9	84697	genus	UBA9949	42	40	31	0.82	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_UBA9949
LS-67	NODE_5443_length_13318_cov_9.9	84111	genus	Bilamarchaeum	14	12	12	1.0	d_Archaea;p_Micrarchaeota;c_Micrarchaeia;o_Anstonellales;f_Bilamarchaeaceae;g_Bilamarchaeum
LS-67	NODE_24682_length_5169_cov_13.3	2	superkingdom	Bacteria	5	5	5	1.0	d_Bacteria
LS-67	NODE_39679_length_3858_cov_6.7	16434	genus	Delta-02	5	5	4	0.97	d_Bacteria;p_Desulfobacterota G;c_Syntrophorhabdia;o_Syntrophorhabdales;f_Syntrophorhabdaceae;g_Delta-02
LS-76	NODE_7_length_533813_cov_49.8	2	superkingdom	Bacteria	118	100	69	0.67	d_Bacteria
LS-76	NODE_340_length_55007_cov_1115.8	86140	species	20-14-0-80-47-9 sp002779555	60	60	35	0.57	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233;g_20-14-0-80-47-9;s_20-14-0-80-47-9 sp002779555
LS-76	NODE_2401_length_15923_cov_9.5	88605	species	FEN-33 sp003135935	4	3	2	0.67	d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_UBA472;g_FEN-33;s_FEN-33 sp003135935
LS-76	NODE_7521_length_7711_cov_14.7	183	order	Rhizobiales	10	10	6	0.52	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales
LS-93	NODE_62297_length_3119_cov_17.1	84717	species	Methanoperedens nitroreducens	1	1	1	1.0	d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanoperedenaceae;g_Methanoperedens;s_Methanoperedens nitroreducens
LS-35	NODE_922_length_36603_cov_23.3	60084	species	PLanc-01 sp016928975	38	35	22	0.68	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_SG8-4;g_PLanc-01;s_PLanc-01 sp016928975
LS-35	NODE_4167_length_15142_cov_8.8	164	class	Bacteroidia	19	18	9	0.53	d_Bacteria;p_Bacteroidota;c_Bacteroidia
LS-35	NODE_8364_length_10413_cov_11.1	1455	order	Anaerolineales	9	5	4	0.68	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales
LS-35	NODE_13478_length_8050_cov_9.0	77075	species	JAGOPY01 sp017991835	11	9	7	0.78	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_JAGOPY01;g_JAGOPY01;s_JAGOPY01 sp017991835
LS-35	NODE_20772_length_6371_cov_9.1	2	superkingdom	Bacteria	4	4	4	1.0	d_Bacteria
LS-35	NODE_28504_length_5369_cov_12.4	83409	order	Methanomicrobiales	8	7	4	0.77	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales
LS-35	NODE_37184_length_4648_cov_8.4	86290	species	JABXJT01 sp016840125	4	2	1	0.5	d_Archaea;p_Asgardarchaeota;c_Lokiarchaeia;o_Helarchaeales;f_HEL-GB-A;g_JABXJT01;s_JABXJT01 sp016840125
LS-35	NODE_51897_length_3881_cov_8.5	3039	order	Thermodesulfovibrionales	3	3	3	1.0	d_Bacteria;p_Nitrospirota;c_Thermodesulfovibrionia;o_Thermodesulfovibrionales
LS-35	NODE_66371_length_3390_cov_6.6	2	superkingdom	Bacteria	2	1	1	1.0	d_Bacteria
LS-67	NODE_3607_length_16920_cov_19.0	86863	species	MVRE01 sp903900025	23	22	16	0.79	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_MVRE01;s_MVRE01 sp903900025
LS-67	NODE_9947_length_9159_cov_12.0	72104	species	UBA1275 sp018401935	11	11	6	0.65	d_Bacteria;p_Bacteroidota;c_Rhodothermia;o_Balneolales;f_Balneolaceae;g_UBA1275;s_UBA1275 sp018401935
LS-67	NODE_21790_length_5576_cov_8.2	2	superkingdom	Bacteria	3	3	3	1.0	d_Bacteria
LS-67	NODE_36441_length_4067_cov_76.4	83785	family	UBA233	5	5	4	0.75	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-67	NODE_59092_length_3036_cov_15.3	84293	species	Methanoregula sp002495055	2	1	1	1.0	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_Methanoregula;s_Methanoregula sp002495055
LS-76	NODE_109_length_123870_cov_47.8	1	no rank	root	30	27	27	1.0	-_root
LS-76	NODE_1426_length_21918_cov_11.1	141	phylum	Spirochaetota	15	15	10	0.67	d_Bacteria;p_Spirochaetota
LS-76	NODE_4734_length_10430_cov_21.1	2	superkingdom	Bacteria	7	6	5	0.83	d_Bacteria
LS-76	NODE_12086_length_5668_cov_25.4	24	class	Actinomycetia	6	5	4	0.52	d_Bacteria;p_Actinobacteriota;c_Actinomycetia
LS-76	NODE_32825_length_3081_cov_9.7	24869	species	UBA1163 sp002327985	3	3	2	0.99	d_Bacteria;p_Desulfobacterota;c_BSN033;o_BSN033;f_UBA1163;g_UBA1163;s_UBA1163 sp002327985
LS-93	NODE_8774_length_10284_cov_25.4	83999	species	Bog-38 sp003170935	14	14	10	0.73	d_Archaea;p_Halobacteriota;c_Bog-38;o_Bog-38;f_Bog-38;g_Bog-38;s_Bog-38 sp003170935
LS-93	NODE_15075_length_7506_cov_9.4	6494	family	SG8-4	11	11	9	0.75	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_SG8-4
LS-93	NODE_28844_length_5004_cov_12.4	8970	genus	2-02-FULL-66-22	8	8	6	0.85	d_Bacteria;p_Methylomirabilota;c_Methylomirabilia;o_Methylomirabilales;f_2-02-FULL-66-22;g_2-02-FULL-66-22
LS-93	NODE_44137_length_3857_cov_7.6	4496	genus	LD21	4	4	4	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_VadinHA17;g_LD21
LS-35	NODE_86_length_110708_cov_18.5	7497	family	UBA6249	99	91	46	0.53	d_Bacteria;p_Omnitrophota;c_Koll11;o_GIF10;f_UBA6249
LS-35	NODE_1676_length_25582_cov_38.9	46	order	Burkholderiales	26	25	13	0.6	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales
LS-35	NODE_5753_length_12702_cov_70.7	2	superkingdom	Bacteria	19	19	15	0.89	d_Bacteria
LS-35	NODE_9706_length_9612_cov_14.2	27	genus	Mycobacterium	11	11	8	0.75	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium
LS-35	NODE_15065_length_7590_cov_14.1	18408	genus	Hyphomicrobium	11	11	10	0.99	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Hyphomicrobium
LS-35	NODE_23371_length_5992_cov_12.2	2	superkingdom	Bacteria	5	5	5	1.0	d_Bacteria
LS-63	NODE_64444_length_3088_cov_11.5	2	superkingdom	Bacteria	6	6	5	0.8	d_Bacteria
LS-55	NODE_127_length_146614_cov_78.2	2	superkingdom	Bacteria	39	34	28	0.77	d_Bacteria
LS-55	NODE_1517_length_34646_cov_68.4	1	no rank	root	5	3	3	1.0	-_root
LS-55	NODE_2909_length_22776_cov_23.4	86372	genus	FEN-33	21	21	13	0.65	d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_UBA472;g_FEN-33
LS-55	NODE_4874_length_16522_cov_28.4	2705	family	UBA1268	18	16	11	0.75	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_UBA1268
LS-55	NODE_8291_length_11738_cov_32.5	74007	species	Mycobacterium sp903911165	14	14	13	0.91	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium;s_Mycobacterium sp903911165
LS-55	NODE_13168_length_8615_cov_17.2	2737	class	Phycisphaerae	6	6	4	0.67	d_Bacteria;p_Planctomycetota;c_Phycisphaerae
LS-55	NODE_20048_length_6534_cov_34.2	1456	family	EnvOPS12	6	4	2	0.65	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales;f_EnvOPS12
LS-55	NODE_32251_length_4822_cov_110.0	83785	family	UBA233	6	6	5	0.8	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-55	NODE_59244_length_3303_cov_8.0	1454	class	Anaerolineae	4	4	4	1.0	d_Bacteria;p_Chloroflexota;c_Anaerolineae
LS-67	NODE_1792_length_24995_cov_29.7	2	superkingdom	Bacteria	19	18	9	0.5	d_Bacteria
LS-67	NODE_15923_length_6776_cov_9.0	19333	family	UBA4823	7	6	5	0.98	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales;f_UBA4823
LS-67	NODE_26718_length_4922_cov_25.9	1	no rank	root	4	3	3	1.0	-_root
LS-67	NODE_44215_length_3609_cov_15.8	2	superkingdom	Bacteria	7	6	6	1.0	d_Bacteria
LS-76	NODE_24_length_264895_cov_48.9	2	superkingdom	Bacteria	61	58	40	0.68	d_Bacteria
LS-76	NODE_620_length_36736_cov_14.0	2	superkingdom	Bacteria	8	7	4	0.66	d_Bacteria
LS-76	NODE_2676_length_14914_cov_16.3	1204	order	Dehalococcoidales	20	20	11	0.61	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Dehalococcoidales
LS-76	NODE_8557_length_7086_cov_12.1	84987	species	SM1-50 sp014894395	5	5	3	0.6	d_Archaea;p_Thermoplasmatota;c_E2;o_DHVEG-1;f_DHVEG-1;g_SM1-50;s_SM1-50 sp014894395
LS-76	NODE_19892_length_4187_cov_9.1	1454	class	Anaerolineae	5	4	2	0.5	d_Bacteria;p_Chloroflexota;c_Anaerolineae
LS-85	NODE_304_length_61422_cov_68.9	7106	order	Aminicenantales	56	51	29	0.56	d_Bacteria;p_Acidobacteriota;c_Aminicenantia;o_Aminicenantales
LS-65	NODE_412_length_64205_cov_15.0	2567	order	Paceibacterales	67	63	36	0.63	d_Bacteria;p_Patescibacteria;c_Paceibacteria;o_Paceibacterales
LS-65	NODE_3515_length_18800_cov_14.0	6494	family	SG8-4	18	13	9	0.81	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_SG8-4
LS-65	NODE_6890_length_12351_cov_15.3	2	superkingdom	Bacteria	13	11	11	1.0	d_Bacteria
LS-65	NODE_15495_length_7365_cov_9.2	58957	species	34-128 sp018903015	7	7	5	0.67	d_Bacteria;p_Atribacterota;c_JS1;o_SB-45;f_34-128;g_34-128;s_34-128 sp018903015
LS-65	NODE_32151_length_4711_cov_35.8	46945	species	RBG-13-46-10 sp001824645	6	6	3	0.59	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_Sedimentisphaerales;f_SG8-4;g_RBG-13-46-10;s_RBG-13-46-10 sp001824645
LS-65	NODE_58442_length_3274_cov_10.3	2534	order	Syntrophales	4	4	2	0.98	d_Bacteria;p_Desulfobacterota;c_Syntrophia;o_Syntrophales
LS-63	NODE_1151_length_32578_cov_71.1	29888	family	UBA7540	33	33	23	0.83	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_UBA7540;f_UBA7540
LS-63	NODE_5685_length_13307_cov_16.9	1203	class	Dehalococcoidia	13	13	7	0.58	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia
LS-63	NODE_15095_length_7404_cov_19.0	2	superkingdom	Bacteria	8	7	6	0.99	d_Bacteria
LS-63	NODE_27690_length_5122_cov_6.9	25005	order	SM23-33	5	3	2	0.67	d_Bacteria;p_Planctomycetota;c_Phycisphaerae;o_SM23-33
LS-55	NODE_3574_length_20148_cov_33.9	2	superkingdom	Bacteria	18	16	15	1.0	d_Bacteria
LS-55	NODE_5784_length_14779_cov_8.2	2	superkingdom	Bacteria	11	10	8	0.8	d_Bacteria
LS-55	NODE_9806_length_10513_cov_21.1	2	superkingdom	Bacteria	9	8	7	0.86	d_Bacteria
LS-55	NODE_15348_length_7793_cov_24.0	83659	genus	SM1-50	8	8	7	0.88	d_Archaea;p_Thermoplasmatota;c_E2;o_DHVEG-1;f_DHVEG-1;g_SM1-50
LS-55	NODE_22838_length_6008_cov_7.2	71454	species	W425 sp011192005	5	5	3	0.66	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Dehalococcoidales;f_RBG-16-60-22;g_W425;s_W425 sp011192005
LS-55	NODE_43198_length_4014_cov_8.7	84293	species	Methanoregula sp002495055	4	4	2	0.94	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_Methanoregula;s_Methanoregula sp002495055
LS-55	NODE_67005_length_3068_cov_6.9	37035	species	SIBH01 sp009695285	2	2	1	0.91	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales;f_SIBH01;g_SIBH01;s_SIBH01 sp009695285
LS-93	NODE_1770_length_25093_cov_13.1	2	superkingdom	Bacteria	39	32	29	0.99	d_Bacteria
LS-93	NODE_5424_length_13452_cov_20.3	21332	family	UBA1163	15	15	12	0.83	d_Bacteria;p_Desulfobacterota;c_BSN033;o_BSN033;f_UBA1163
LS-93	NODE_9616_length_9775_cov_28.1	2	superkingdom	Bacteria	12	10	10	1.0	d_Bacteria
LS-93	NODE_60620_length_3171_cov_13.4	83343	superkingdom	Archaea	4	4	3	0.68	d_Archaea
LS-35	NODE_833_length_38361_cov_18.8	85452	genus	MVRE01	48	45	23	0.6	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_MVRE01
LS-35	NODE_3899_length_15704_cov_17.4	2	superkingdom	Bacteria	8	8	7	0.98	d_Bacteria
LS-35	NODE_8215_length_10507_cov_27.1	83659	genus	SM1-50	11	11	9	0.82	d_Archaea;p_Thermoplasmatota;c_E2;o_DHVEG-1;f_DHVEG-1;g_SM1-50
LS-35	NODE_12880_length_8259_cov_8.0	2	superkingdom	Bacteria	4	3	2	0.67	d_Bacteria
LS-35	NODE_20108_length_6486_cov_18.0	62188	species	RBG-13-68-16 sp001766905	3	3	2	0.67	d_Bacteria;p_Acidobacteriota;c_Thermoanaerobaculia;o_Thermoanaerobaculales;f_Thermoanaerobaculaceae;g_RBG-13-68-16;s_RBG-13-68-16 sp001766905
LS-35	NODE_28003_length_5424_cov_8.1	44411	species	UBA12077 sp013138975	2	1	1	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA12077;g_UBA12077;s_UBA12077 sp013138975
LS-35	NODE_35612_length_4758_cov_6.2	23532	genus	Ruminiclostridium	3	2	1	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Acetivibrionales;f_DSM-27016;g_Ruminiclostridium
LS-35	NODE_49602_length_3977_cov_12.8	4496	genus	LD21	3	3	3	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_VadinHA17;g_LD21
LS-35	NODE_63514_length_3472_cov_30.3	15695	genus	RPQJ01	3	3	3	1.0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Steroidobacterales;f_Steroidobacteraceae;g_RPQJ01
LS-85	NODE_4609_length_13848_cov_15.4	74007	species	Mycobacterium sp903911165	11	11	5	0.62	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium;s_Mycobacterium sp903911165
LS-85	NODE_10701_length_8550_cov_33.1	2	superkingdom	Bacteria	5	4	3	0.75	d_Bacteria
LS-85	NODE_19545_length_5992_cov_72.5	1	no rank	root	9	9	9	1.0	-_root
LS-85	NODE_31009_length_4516_cov_136.0	82369	species	JABXJW01 sp013375395	2	2	1	0.5	d_Bacteria;p_Desulfobacterota;c_Desulfobacteria;o_C00003060;f_C00003060;g_JABXJW01;s_JABXJW01 sp013375395
LS-85	NODE_53942_length_3215_cov_8.3	57960	genus	JAAZBV01	5	5	4	0.98	d_Bacteria;p_Desulfobacterota;c_DSM-4660;o_Desulfatiglandales;f_HGW-15;g_JAAZBV01
LS-65	NODE_50_length_212787_cov_31.9	2	superkingdom	Bacteria	65	53	34	0.65	d_Bacteria
LS-65	NODE_1135_length_37501_cov_27.8	1	no rank	root	10	10	10	1.0	-_root
LS-65	NODE_4380_length_16422_cov_33.2	2	superkingdom	Bacteria	7	7	6	0.77	d_Bacteria
LS-65	NODE_9284_length_10256_cov_18.0	83785	family	UBA233	11	9	8	0.99	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-65	NODE_19611_length_6368_cov_12.3	14639	order	UBA6902	4	3	2	0.67	d_Bacteria;p_Nitrospirota;c_Thermodesulfovibrionia;o_UBA6902
LS-55	NODE_23670_length_5878_cov_23.5	83785	family	UBA233	6	5	5	1.0	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-55	NODE_46468_length_3837_cov_60.3	84697	genus	UBA9949	4	4	4	1.0	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanoregulaceae;g_UBA9949
LS-55	NODE_69413_length_3006_cov_7.1	1454	class	Anaerolineae	3	3	2	0.67	d_Bacteria;p_Chloroflexota;c_Anaerolineae
LS-93	NODE_2022_length_23370_cov_23.5	2	superkingdom	Bacteria	3	3	2	0.67	d_Bacteria
LS-93	NODE_5516_length_13328_cov_19.2	62606	genus	UBA8522	14	12	6	0.59	d_Bacteria;p_Acidobacteriota;c_Aminicenantia;o_Aminicenantales;f_UBA8522;g_UBA8522
LS-93	NODE_9861_length_9632_cov_16.3	85589	genus	PIYB01	10	9	7	0.75	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_B26-1;g_PIYB01
LS-93	NODE_16097_length_7212_cov_8.9	42242	family	NAK82	10	10	5	0.5	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_4572-78;f_NAK82
LS-93	NODE_31746_length_4719_cov_8.5	4496	genus	LD21	6	6	4	0.67	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_VadinHA17;g_LD21
LS-35	NODE_360_length_57765_cov_14.0	20597	order	SM23-42	47	43	19	0.51	d_Bacteria;p_WOR-3;c_WOR-3;o_SM23-42
LS-35	NODE_2671_length_19347_cov_29.0	2	superkingdom	Bacteria	22	19	15	0.79	d_Bacteria
LS-85	NODE_28040_length_4806_cov_25.7	68304	species	DSXZ01 sp011367735	8	8	6	0.99	d_Bacteria;p_Desulfobacterota;c_DSM-4660;o_Desulfatiglandales;f_HGW-15;g_DSXZ01;s_DSXZ01 sp011367735
LS-85	NODE_43736_length_3660_cov_7.3	2	superkingdom	Bacteria	4	4	4	1.0	d_Bacteria
LS-65	NODE_3_length_576669_cov_32.3	2	superkingdom	Bacteria	131	110	76	0.65	d_Bacteria
LS-65	NODE_392_length_66754_cov_63.4	29888	family	UBA7540	75	68	43	0.77	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_UBA7540;f_UBA7540
LS-65	NODE_3118_length_20193_cov_90.4	2	superkingdom	Bacteria	23	22	22	1.0	d_Bacteria
LS-65	NODE_6511_length_12791_cov_19.8	86487	species	JACTUA01 sp015660865	17	17	14	0.99	d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_JACTUA01;g_JACTUA01;s_JACTUA01 sp015660865
LS-65	NODE_13299_length_8141_cov_18.7	33898	family	FEB-12	6	5	4	0.8	d_Bacteria;p_Zixibacteria;c_MSB-5A5;o_GN15;f_FEB-12
LS-65	NODE_29406_length_4974_cov_13.9	1454	class	Anaerolineae	5	4	3	0.75	d_Bacteria;p_Chloroflexota;c_Anaerolineae
LS-65	NODE_55757_length_3369_cov_6.9	987	family	Methylomonadaceae	3	3	2	0.51	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Methylococcales;f_Methylomonadaceae
LS-63	NODE_829_length_38094_cov_22.7	1204	order	Dehalococcoidales	39	34	18	0.54	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Dehalococcoidales
LS-55	NODE_22075_length_6144_cov_63.9	83785	family	UBA233	7	7	5	0.97	d_Archaea;p_Thermoproteota;c_Bathyarchaeia;o_B26-1;f_UBA233
LS-55	NODE_41540_length_4113_cov_16.2	41750	species	MWCM01 sp002070055	4	4	2	0.66	d_Bacteria;p_Patescibacteria;c_UBA1384;o_XYA2-FULL-43-10;f_XYA2-FULL-43-10;g_MWCM01;s_MWCM01 sp002070055
LS-55	NODE_64406_length_3141_cov_8.8	64604	species	PGXY01 sp002839375	2	2	2	1.0	d_Bacteria;p_Spirochaetota;c_UBA4802;o_UBA4802;f_UBA5550;g_PGXY01;s_PGXY01 sp002839375
LS-93	NODE_1338_length_29226_cov_17.6	2	superkingdom	Bacteria	19	19	14	0.65	d_Bacteria
LS-93	NODE_4852_length_14364_cov_37.5	1204	order	Dehalococcoidales	20	20	11	0.61	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Dehalococcoidales
